key,reason,record_type,source
BTC/USDT/518008411,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518009503,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518305623,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518305628,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518311842,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518311848,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/518313797,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519319772,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519319776,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519319777,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519321200,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519321201,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519321202,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519321203,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519670115,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519670122,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519674697,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519763758,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519763797,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519763798,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519817709,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/519817712,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520064843,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617175,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617176,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617179,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617180,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617181,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617182,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617183,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617184,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617185,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617186,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617187,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617188,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520617189,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
