active_decision,active_entry_strategy,active_strategy_id,active_terminal_reason,bar_timestamp,candidate,candidate_id,candidate_key,candidate_type,commission,created_at,created_candidate,cycle_id,decision_terminal,direction,entry_authority,entry_authority_reason,entry_authorized,entry_price,entry_quantity,entry_time,episode_id,execution_policy,exit_price,exit_quantity,exit_reason,exit_time,funding,funnel_id,giveback_pct,holding_seconds,is_stop_order,is_tp_order,lane,local_order_id,mae_pct,market_snapshot_reference,mfe_pct,net_pnl,promotion_eligible,r2_cost_gate,realized_pnl,reason_code,regime,research_shadow,score_bucket,stages,status,strategy,strategy_id,strategy_trace,strategy_version,symbol,terminal_outcome,terminal_stage,trading_state,v2_cycle_id,v2_intent_id
,,,,,,,,,8.29435152,,,,,short,,,,64100,0.2184,2026-07-07T16:52:55.936000+00:00,BTC-USDT-0001,,62894.50,0.2184,UNKNOWN,2026-07-08T02:03:02.266000+00:00,-4.11101971,,,33006,,,,,,,,250.87582877,,,263.28120000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.34238160,,,,,long,,,,62090.32,0.0050,2026-07-08T14:23:08.658000+00:00,BTC-USDT-0002,,61986.70,0.0050,REVERSAL,2026-07-08T14:29:57.067000+00:00,-0.31753920,,,408,,,,,,,,-1.15858080,,,-0.49866000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09413086,,,,,short,,,,61986.70,0.0038,2026-07-08T14:29:57.067000+00:00,BTC-USDT-0003,,61928.20,0.0038,UNKNOWN,2026-07-08T14:35:52.913000+00:00,-0.09413086,,,355,,,,,,,,0.03403828,,,0.22230000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.39624660,,,,,short,,,,61891.30,0.0080,2026-07-08T14:36:54.653000+00:00,BTC-USDT-0004,,61948.70,0.0080,UNKNOWN,2026-07-08T14:41:58.564000+00:00,-0.19819444,,,303,,,,,,,,-0.95014104,,,-0.35570000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,1.68305706,,,,,long,,,,62781.79520596915658644053705,0.0340,2026-07-08T14:45:20.618000+00:00,BTC-USDT-0005,,62874.20,0.0340,UNKNOWN,2026-07-09T09:50:25.521000+00:00,-1.48649639,,,68704,,,,,,,,-5.63877343,,,-2.46921998,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.05018628,,,,,long,,,,62739.40,0.0010,2026-07-09T14:37:26.425000+00:00,BTC-USDT-0006,,62726.30,0.0010,UNKNOWN,2026-07-09T14:37:30.427000+00:00,-0.02509052,,,4,,,,,,,,-0.08837680,,,-0.01310000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.05128828,,,,,long,,,,64119.90,0.0010,2026-07-10T08:18:22.812000+00:00,BTC-USDT-0007,,64100.80,0.0010,UNKNOWN,2026-07-10T08:18:28.279000+00:00,-0.02564032,,,5,,,,,,,,-0.09602860,,,-0.01910000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.62562121,,,,,long,,,,64110.86885245901639344262295,0.0122,2026-07-11T16:42:23.661000+00:00,BTC-USDT-0008,,64090.20,0.0122,UNKNOWN,2026-07-11T16:42:24.562000+00:00,-0.31276017,,,0,,,,,,,,-1.19054138,,,-0.25216000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.62959945,,,,,long,,,,1818.36,0.433,2026-07-11T16:42:27.047000+00:00,ETH-USDT-0009,,1816.74,0.433,UNKNOWN,2026-07-11T16:42:27.941000+00:00,0,,,0,,,,,,,,-1.33069945,,,-0.70110000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09258838,,,,,long,,,,64319.92222222222222222222222,0.0018,2026-07-11T17:38:29.350000+00:00,BTC-USDT-0010,,64266,0.0018,UNKNOWN,2026-07-11T17:38:30.249000+00:00,-0.04627804,,,0,,,,,,,,-0.21962641,,,-0.08075999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
